sampleName,cellLine,numberCells,technique,ip,patientID,sampleID,condition,experimentName,technicalReplicate,genome,unmappedBam
CLL_ATAC-seq_4034_1-5-47284_ATAC27-5_hg19,CLL,,ATAC-seq,,4034,1-5-47284,,ATAC27-5,,hg19,/scratch/lab_bsf/samples/BSF_0162_H2TCFBBXX/BSF_0162_H2TCFBBXX_2_samples/BSF_0162_H2TCFBBXX_2#CLL_ATAC_seq_4034_1_5_47284_ATAC27_5.bam
CLL_ATAC-seq_4078_1-5-1840_ATAC31-1_hg19,CLL,,ATAC-seq,,4078,1-5-1840,,ATAC31-1,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_4078_1_5_1840_ATAC31_1.bam
CLL_ATAC-seq_4078_1-5-7213_ATAC32-5_hg19,CLL,,ATAC-seq,,4078,1-5-7213,,ATAC32-5,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_4078_1_5_7213_ATAC32_5.bam
CLL_ATAC-seq_4080_1-5-27302_ATAC30-9_hg19,CLL,,ATAC-seq,,4080,1-5-27302,,ATAC30-9,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_4080_1_5_27302_ATAC30_9.bam
CLL_ATAC-seq_4102_1-5-12088_ATAC29-29_hg19,CLL,,ATAC-seq,,4102,1-5-12088,,ATAC29-29,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_4102_1_5_12088_ATAC29_29.bam
CLL_ATAC-seq_4102_1-5-41533_ATAC29-26_hg19,CLL,,ATAC-seq,,4102,1-5-41533,,ATAC29-26,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_4102_1_5_41533_ATAC29_26.bam
CLL_ATAC-seq_4102_1-5-47077_ATAC29-30_hg19,CLL,,ATAC-seq,,4102,1-5-47077,,ATAC29-30,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_4102_1_5_47077_ATAC29_30.bam
CLL_ATAC-seq_4189_1-5-48773_ATAC27-2_hg19,CLL,,ATAC-seq,,4189,1-5-48773,,ATAC27-2,,hg19,/scratch/lab_bsf/samples/BSF_0162_H2TCFBBXX/BSF_0162_H2TCFBBXX_2_samples/BSF_0162_H2TCFBBXX_2#CLL_ATAC_seq_4189_1_5_48773_ATAC27_2.bam
CLL_ATAC-seq_4224_1-5-41672_ATAC32-13_hg19,CLL,,ATAC-seq,,4224,1-5-41672,,ATAC32-13,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_4224_1_5_41672_ATAC32_13.bam
CLL_ATAC-seq_4251_1-5-12508_ATAC32-7_hg19,CLL,,ATAC-seq,,4251,1-5-12508,,ATAC32-7,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_4251_1_5_12508_ATAC32_7.bam
CLL_ATAC-seq_4251_1-5-19509_ATAC32-8_hg19,CLL,,ATAC-seq,,4251,1-5-19509,,ATAC32-8,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_4251_1_5_19509_ATAC32_8.bam
CLL_ATAC-seq_4333_1-5-11319_ATAC32-6_hg19,CLL,,ATAC-seq,,4333,1-5-11319,,ATAC32-6,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_4333_1_5_11319_ATAC32_6.bam
CLL_ATAC-seq_4621_1-5-1674_ATAC31-3_hg19,CLL,,ATAC-seq,,4621,1-5-1674,,ATAC31-3,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_4621_1_5_1674_ATAC31_3.bam
CLL_ATAC-seq_4621_1-5-36904_ATAC16-2_2_hg19,CLL,,ATAC-seq,,4621,1-5-36904,,ATAC16-2,2,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_3_samples/BSF_0178_H322GBBXX_3#CLL_ATAC_seq_4621_1_5_36904_ATAC16_2.bam
CLL_ATAC-seq_4621_1-5-39762_ATAC31-4_hg19,CLL,,ATAC-seq,,4621,1-5-39762,,ATAC31-4,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_4621_1_5_39762_ATAC31_4.bam
CLL_ATAC-seq_4668_1-5-1518_ATAC29-5_hg19,CLL,,ATAC-seq,,4668,1-5-1518,,ATAC29-5,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_4668_1_5_1518_ATAC29_5.bam
CLL_ATAC-seq_4668_1-5-2135_ATAC32-10_hg19,CLL,,ATAC-seq,,4668,1-5-2135,,ATAC32-10,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_4668_1_5_2135_ATAC32_10.bam
